Problem1,InitialLB,Initial UB,Best Solution,Is Optimal,ERR,Run time
HBB1,842,842,842,1,0,0
HBB2,842,842,842,1,0,0
HBB,842,842,842,1,0,0
,Problem2,,,,,
,985,985,985,1,0,0
,985,985,985,1,0,0
,985,985,985,1,0,0
,Problem3,,,,,
,743,752,752,1,0,5.751
,743,752,752,1,0,2.533
,743,752,752,1,0,0.029
,Problem4,,,,,
,959,959,959,1,0,0
,959,959,959,1,0,0
,959,959,959,1,0,0
,Problem5,,,,,
,912,942,932,1,0,0
,912,942,932,1,0,0
,912,942,932,1,0,0
,Problem6,,,,,
,779,782,780,1,0,7.306
,779,782,780,1,0,5.694
,779,782,780,1,0,0.029
,Problem7,,,,,
,981,981,981,1,0,0
,981,981,981,1,0,0
,981,981,981,1,0,0
,Problem8,,,,,
,900,905,905,1,0,7.184
,900,905,905,1,0,7.172
,900,905,905,1,0,0.03
,Problem9,,,,,
,900,907,900,1,0,0.001
,900,907,900,1,0,0
,900,907,900,1,0,0
,Problem10,,,,,
,879,879,879,1,0,0
,879,879,879,1,0,0
,879,879,879,1,0,0
,Problem11,,,,,
,818,818,818,1,0,0
,818,818,818,1,0,0
,818,818,818,1,0,0
,Problem12,,,,,
,801,804,804,1,0,14.092
,801,804,804,1,0,7.678
,801,804,804,1,0,0.037
,Problem13,,,,,
,757,757,757,1,0,0
,757,757,757,1,0,0
,757,757,757,1,0,0
,Problem14,,,,,
,751,752,751,1,0,0.001
,751,752,751,1,0,0
,751,752,751,1,0,0
,Problem15,,,,,
,892,931,894,1,0,0.387
,892,931,894,1,0,0.334
,892,931,894,1,0,0.027
,Problem16,,,,,
,883,955,886,1,0,0.003
,883,955,886,1,0,0.003
,883,955,886,1,0,0.002
,Problem17,,,,,
,823,841,823,1,0,0.001
,823,841,823,1,0,0
,823,841,823,1,0,0
,Problem18,,,,,
,866,866,866,1,0,0
,866,866,866,1,0,0
,866,866,866,1,0,0
,Problem19,,,,,
,865,874,865,1,0,0.001
,865,874,865,1,0,0
,865,874,865,1,0,0
,Problem20,,,,,
,888,888,888,1,0,0
,888,888,888,1,0,0
,888,888,888,1,0,0
,Problem21,,,,,
,867,867,867,1,0,0
,867,867,867,1,0,0
,867,867,867,1,0,0
,Problem22,,,,,
,741,759,751,1,0,0.965
,741,759,751,1,0,0.922
,741,759,751,1,0,0.029
,Problem23,,,,,
,895,934,927,1,0,1.74
,895,934,927,1,0,1.709
,895,934,927,1,0,0.041
,Problem24,,,,,
,893,893,893,1,0,0
,893,893,893,1,0,0
,893,893,893,1,0,0
,Problem25,,,,,
,907,915,910,1,0,0.002
,907,915,910,1,0,0.002
,907,915,910,1,0,0.001
,Problem26,,,,,
,930,932,932,1,0,18.728
,930,932,932,1,0,18.423
,930,932,932,1,0,0.053
,Problem27,,,,,
,803,823,803,1,0,0.002
,803,823,803,1,0,0.002
,803,823,803,1,0,0.002
,Problem28,,,,,
,890,890,890,1,0,0
,890,890,890,1,0,0
,890,890,890,1,0,0
,Problem29,,,,,
,969,969,969,1,0,0
,969,969,969,1,0,0
,969,969,969,1,0,0
,Problem30,,,,,
,926,946,928,1,0,0.002
,926,946,928,1,0,0.002
,926,946,928,1,0,0.001
,Problem31,,,,,
,854,854,854,1,0,0
,854,854,854,1,0,0
,854,854,854,1,0,0
,Problem32,,,,,
,889,889,889,1,0,0
,889,889,889,1,0,0
,889,889,889,1,0,0
,Problem33,,,,,
,908,908,908,1,0,0
,908,908,908,1,0,0
,908,908,908,1,0,0
,Problem34,,,,,
,944,944,944,1,0,0
,944,944,944,1,0,0
,944,944,944,1,0,0
,Problem35,,,,,
,855,861,855,1,0,0.001
,855,861,855,1,0,0.001
,855,861,855,1,0,0.001
,Problem36,,,,,
,881,881,881,1,0,0
,881,881,881,1,0,0
,881,881,881,1,0,0
,Problem37,,,,,
,879,892,879,1,0,0.001
,879,892,879,1,0,0.001
,879,892,879,1,0,0.001
,Problem38,,,,,
,837,864,839,1,0,0.624
,837,864,839,1,0,0.59
,837,864,839,1,0,0.039
,Problem39,,,,,
,926,926,926,1,0,0
,926,926,926,1,0,0
,926,926,926,1,0,0
,Problem40,,,,,
,1071,1071,1071,1,0,0
,1071,1071,1071,1,0,0
,1071,1071,1071,1,0,0
