Problem1,InitialLB,Initial UB,Best Solution,Is Optimal,ERR,Run time
HBB1,727,742,742,1,0,1.064
HBB2,727,742,742,1,0,0.831
HBB,727,742,742,1,0,0.019
,Problem2,,,,,
,654,654,654,1,0,0
,654,654,654,1,0,0
,654,654,654,1,0,0
,Problem3,,,,,
,827,827,827,1,0,0
,827,827,827,1,0,0
,827,827,827,1,0,0
,Problem4,,,,,
,719,719,719,1,0,0
,719,719,719,1,0,0
,719,719,719,1,0,0
,Problem5,,,,,
,706,722,722,1,0,0
,706,722,722,1,0,0
,706,722,722,1,0,0
,Problem6,,,,,
,713,713,713,1,0,0
,713,713,713,1,0,0
,713,713,713,1,0,0
,Problem7,,,,,
,767,767,767,1,0,0
,767,767,767,1,0,0
,767,767,767,1,0,0
,Problem8,,,,,
,698,735,704,1,0,0.003
,698,735,704,1,0,0.003
,698,735,704,1,0,0.002
,Problem9,,,,,
,695,754,745,1,0,0.002
,695,754,745,1,0,0.002
,695,754,745,1,0,0.001
,Problem10,,,,,
,712,712,712,1,0,0
,712,712,712,1,0,0
,712,712,712,1,0,0
,Problem11,,,,,
,568,568,568,1,0,0
,568,568,568,1,0,0
,568,568,568,1,0,0
,Problem12,,,,,
,768,768,768,1,0,0
,768,768,768,1,0,0
,768,768,768,1,0,0
,Problem13,,,,,
,630,672,630,1,0,0
,630,672,630,1,0,0
,630,672,630,1,0,0
,Problem14,,,,,
,814,814,814,1,0,0
,814,814,814,1,0,0
,814,814,814,1,0,0
,Problem15,,,,,
,619,643,639,1,0,0.001
,619,643,639,1,0,0
,619,643,639,1,0,0
,Problem16,,,,,
,656,656,656,1,0,0
,656,656,656,1,0,0
,656,656,656,1,0,0
,Problem17,,,,,
,590,590,590,1,0,0
,590,590,590,1,0,0
,590,590,590,1,0,0
,Problem18,,,,,
,685,685,685,1,0,0
,685,685,685,1,0,0
,685,685,685,1,0,0
,Problem19,,,,,
,585,590,590,1,0,0
,585,590,590,1,0,0
,585,590,590,1,0,0
,Problem20,,,,,
,752,752,752,1,0,0
,752,752,752,1,0,0
,752,752,752,1,0,0
,Problem21,,,,,
,721,721,721,1,0,0
,721,721,721,1,0,0
,721,721,721,1,0,0
,Problem22,,,,,
,764,778,764,1,0,0.001
,764,778,764,1,0,0.001
,764,778,764,1,0,0.001
,Problem23,,,,,
,749,749,749,1,0,0
,749,749,749,1,0,0
,749,749,749,1,0,0
,Problem24,,,,,
,801,801,801,1,0,0
,801,801,801,1,0,0
,801,801,801,1,0,0
,Problem25,,,,,
,756,756,756,1,0,0
,756,756,756,1,0,0
,756,756,756,1,0,0
,Problem26,,,,,
,760,760,760,1,0,0
,760,760,760,1,0,0
,760,760,760,1,0,0
,Problem27,,,,,
,688,693,688,1,0,0
,688,693,688,1,0,0
,688,693,688,1,0,0
,Problem28,,,,,
,833,858,833,1,0,0.001
,833,858,833,1,0,0.001
,833,858,833,1,0,0
,Problem29,,,,,
,741,765,747,1,0,0.002
,741,765,747,1,0,0.001
,741,765,747,1,0,0.001
,Problem30,,,,,
,642,647,647,1,0,3.554
,642,647,647,1,0,3.492
,642,647,647,1,0,0.03
,Problem31,,,,,
,746,746,746,1,0,0
,746,746,746,1,0,0
,746,746,746,1,0,0
,Problem32,,,,,
,784,784,784,1,0,0
,784,784,784,1,0,0
,784,784,784,1,0,0
,Problem33,,,,,
,831,831,831,1,0,0
,831,831,831,1,0,0
,831,831,831,1,0,0
,Problem34,,,,,
,861,861,861,1,0,0
